Section,Topic,Number,Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Exporting Images,File Naming,2,"Where would you go to create a complex custom filename like ""2025-10-26_NewYork_001.jpg""?","The ""Filename Template Editor"" by choosing ""Edit..."" from the template dropdown.","The ""File Settings"" panel.","The ""Metadata"" panel.","The ""Post-Processing"" panel."
Exporting Images,File Naming,3,"What is the purpose of the ""Start Number"" field in the File Naming panel?","It defines the first number used in a sequence for your filenames (e.g., starting at 1, 100, etc.).",It sets the number of photos to be exported.,It tells Lightroom which photo in a selection to start exporting from.,It is not an editable field.
Exporting Images,File Naming,4,"If you uncheck the ""Rename To"" box in the File Naming panel, what will your exported files be named?","They will keep their original filenames (e.g., _MG_1234.jpg).",They will be given a random sequence of numbers.,The export will fail.,"They will be named ""Untitled."""
Exporting Images,File Naming,5,Which of the following can be automatically included in a filename using the template editor?,"The date of capture, custom text, and an automatic sequence number.",The name of the Develop preset applied to the photo.,The number of times the photo has previously been exported.,A thumbnail of the image embedded in the filename.
Exporting Images,File Settings,1,"Which file format is best for exporting photos for use on the web, offering a good balance of quality and small file size?",JPEG,TIFF,PSD,DNG
Exporting Images,File Settings,2,"What does the ""Quality"" slider for a JPEG export control?","The level of file compression, where 100 is the highest quality and largest file size.",The dimensions of the image in pixels.,The colour accuracy of the image.,The amount of sharpening applied to the image.
Exporting Images,File Settings,3,"For web use, which Color Space should you almost always choose to ensure colours look correct on most screens and devices?",sRGB,Adobe RGB (1998),ProPhoto RGB,Grayscale
Exporting Images,File Settings,4,"You need to export a file with maximum quality for further editing in Photoshop, preserving layers if possible and using 16-bit colour depth. Which format should you choose?",TIFF or PSD,JPEG,DNG,Original
Exporting Images,File Settings,5,What is a major disadvantage of exporting a photo in the TIFF format compared to JPEG?,TIFF files are much larger in size.,TIFF files have significantly lower image quality.,TIFF files are not compatible with most other software.,TIFF files cannot be used for printing.
Exporting Images,Image Sizing,1,"If you want to export an image to be exactly 1080 pixels on its shortest side, which ""Resize to Fit"" option should you choose?",Short Edge,Width & Height,Long Edge,Megapixels
Exporting Images,Image Sizing,2,"What is the purpose of the ""Don't Enlarge"" checkbox?","It ensures that if your specified dimensions are larger than the original photo, the photo will not be upscaled, preserving its original quality.",It prevents you from exporting the image.,It stops the export process if the file size is too large.,It automatically reduces the quality of enlarged images.
Exporting Images,Image Sizing,3,"The ""Resolution"" field, measured in ""pixels per inch"" (PPI), is most relevant for which purpose?",Printing your images.,Displaying images on a website.,Sending images in an email.,Storing images on your hard drive.
Exporting Images,Image Sizing,4,"You need to export several photos, both horizontal and vertical, for an Instagram post, and you want them all to have a maximum width of 1080 pixels. Which is the most efficient setting?","Set ""Resize to Fit: Width & Height"" with only W: 1080, leaving H blank.","Set ""Resize to Fit: Width & Height"" with W: 1080 and H: 1080.",You must export horizontal and vertical images separately.,"Set ""Resize to Fit: Long Edge"" to 1080 pixels."
Exporting Images,Image Sizing,5,"Setting ""Resize to Fit"" to ""Megapixels"" allows you to:",Export an image with a specific total number of pixels (width x height).,Control the exact width and height of the image.,Control the overall file size of the image on disk.,Set the resolution for printing.
Exporting Images,Output Sharpening & Metadata,1,"""Output Sharpening"" is designed to compensate for the softness that can occur during which two processes?",Resizing an image and printing it on different paper types.,Importing and rating images.,Adding keywords and collections.,Applying presets and virtual copies.
Exporting Images,Output Sharpening & Metadata,2,"If you are exporting an image to be viewed on a website or social media, which ""Sharpen For"" setting should you use?",Screen,Matte Paper,Glossy Paper,Do not sharpen
Exporting Images,Output Sharpening & Metadata,3,"You are exporting photos for a client and want to ensure your copyright information is included, but you want to hide the specific camera settings (ISO, shutter speed, etc.). Which ""Metadata"" option should you choose?",Copyright & Contact Info Only,All Metadata,Copyright Only,Remove All Metadata
Exporting Images,Output Sharpening & Metadata,4,"What is the purpose of the ""Remove Location Info"" checkbox?","It strips any GPS data from the exported file, protecting privacy.",It removes any keywords related to locations.,It deletes the original file from its folder on your hard drive.,It prevents the file from being used in the Map module.
Exporting Images,Output Sharpening & Metadata,5,"The ""Amount"" setting for Output Sharpening (Low, Standard, High) should be chosen based on:","The content of the image (e.g., a highly detailed landscape might benefit from ""High"").",The file size of the image.,The colour space of the image.,The speed of your computer.
Exporting Images,Watermarking & Post-Processing,1,Which two types of watermarks can you create and apply in Lightroom Classic?,"Simple Text and Graphic (e.g., a PNG logo)",Visible and Invisible,Preset and Custom,Static and Animated
Exporting Images,Watermarking & Post-Processing,2,"Where do you go to customise the font, size, opacity, and position of a watermark?","In the Watermark Editor, accessed by selecting ""Edit Watermarks..."" from the watermark dropdown list.","In the ""File Settings"" panel.","In the Library module's Painter tool options.","In the ""Metadata"" panel."
Exporting Images,Watermarking & Post-Processing,3,"What does the ""After Export"" option in the ""Post-Processing"" panel allow you to do?","Perform an action after the export completes, such as opening the files in Photoshop or revealing them in your file browser.",Automatically back up your catalogue.,Shut down the computer.,Apply a final Develop preset.
Exporting Images,Watermarking & Post-Processing,4,"How can you save all your custom export settings (e.g., JPEG, 2048px, sRGB, Screen Sharpening, Watermark) to be used again with one click?","By clicking the ""Add"" button in the ""Preset"" panel on the left side of the Export dialog.",By pressing Ctrl+S (Cmd+S) before exporting.,Lightroom saves the last used settings automatically.,By creating a new collection with the desired settings.
Exporting Images,Watermarking & Post-Processing,5,"If you set ""After Export"" to ""Show in Explorer/Finder,"" what happens when the export is finished?",The folder containing your newly exported images automatically opens on your desktop.,The files are selected within the Lightroom Library.,An email is generated with the files attached.,"A new import dialog opens, showing the exported files."
Managing your Images Using The Library Module,Views and Navigation,1,You want to compare a selection of 5 similar photos at once to choose the best one. Which view mode is designed for this purpose?,Survey View (N),Loupe View (E),Compare View (C),Grid View (G)
Managing your Images Using The Library Module,Views and Navigation,2,"While in Loupe view, what is the quickest way to zoom in to a 1:1 (100%) magnification to check for critical focus?",Press the 'Z' key or simply click on the image.,Double-click the Loupe view icon.,Use the zoom slider in the Navigator panel.,Press Ctrl++ (Cmd++).
Managing your Images Using The Library Module,Views and Navigation,3,Which view mode allows you to see only two images side-by-side for a direct comparison?,Compare View (C),Survey View (N),Grid View (G),Develop Module View
Managing your Images Using The Library Module,Views and Navigation,4,"In Grid view, how can you adjust the size of the image thumbnails?",By using the + and - keys on your keyboard.,"By using the ""Thumbnail Size"" slider at the bottom of the right panel.",You cannot change the thumbnail size.,By using the zoom slider in the Navigator panel on the left.
Managing your Images Using The Library Module,Views and Navigation,5,The strip of photo thumbnails that is always visible at the bottom of the screen in every module is called the:,Filmstrip,Grid,Library,Collection
Managing your Images Using The Library Module,Rating and Flagging,1,What is the most common workflow for using Pick and Reject flags?,To quickly go through an import and mark which photos to keep (Pick) and which to discard (Reject).,To mark photos for printing versus web use.,To assign colours to different photos.,To give photos a quality rating from 1 to 5 stars.
Managing your Images Using The Library Module,Rating and Flagging,2,You are rating a large set of photos and want Lightroom to automatically advance to the next image after you apply a rating or a flag. What key should you press to enable this feature?,The Caps Lock key,The Tab key,The Shift key,The Enter key
Managing your Images Using The Library Module,Rating and Flagging,3,What is the keyboard shortcut to remove all flags (Pick or Reject) from a selected image?,U,P,X,0
Managing your Images Using The Library Module,Rating and Flagging,4,"After flagging a number of photos as Rejected (X), what is the command to permanently remove them from both your catalogue and your hard drive?","Go to the Photo menu and select ""Delete Rejected Photos...""",Ctrl+Delete (Cmd+Delete),"Go to the File menu and select ""Empty Trash.""",Drag the rejected photos to the trash can icon.
Managing your Images Using The Library Module,Rating and Flagging,5,Colour labels (shortcuts 6-9) are most effectively used for:,"Marking photos based on their workflow status (e.g., red for 'to-edit,' green for 'finished,' blue for 'needs client approval').",Ranking the objective quality of a photo.,A simple yes/no selection process.,Automatically grouping photos with similar dominant colours.
Managing your Images Using The Library Module,Keywords and Metadata,1,What is the main advantage of using keywords to organise your photos?,"It makes your image library searchable based on the content of the photo (e.g., ""mountain,"" ""sunset,"" ""London"").",It automatically corrects the colour and exposure.,It backs up your photos to the cloud.,It reduces the file size of your images.
Managing your Images Using The Library Module,Keywords and Metadata,2,"The ""Painter"" tool (spray can icon) in the Library module's toolbar can be used to:","""Spray"" on attributes like keywords, ratings, or flags by clicking on thumbnails in the Grid view.",Make brush adjustments to your photos.,Change the colour of the Lightroom interface.,Add a graphical watermark to your images.
Managing your Images Using The Library Module,Keywords and Metadata,3,What is the difference between EXIF and IPTC metadata?,"EXIF is the camera-generated data (shutter speed, ISO, etc.); IPTC is descriptive information added by the user (copyright, keywords, etc.).",EXIF is applied by the user; IPTC is recorded by the camera.,EXIF is for video files; IPTC is for photos.,There is no difference; they are two terms for the same thing.
Managing your Images Using The Library Module,Keywords and Metadata,4,What is the most efficient way to apply the same copyright information to a large batch of photos?,"Create a Metadata Preset and apply it to all the photos at once, either during import or in the Library module.",Manually type it into each photo's metadata fields one at a time.,Export the photos and re-import them with new metadata.,Add the copyright text as a keyword to each photo.
Managing your Images Using The Library Module,Keywords and Metadata,5,A keyword hierarchy allows you to:,"Create parent-child relationships (e.g., the keyword ""Lion"" is nested under ""Animal""), so applying the child keyword automatically includes the parent.",Rank keywords in order of importance.,Limit the number of keywords you can use.,Automatically translate keywords into different languages.
Managing your Images Using The Library Module,Collections and Smart Collections,1,What is a fundamental characteristic of a Lightroom Collection?,It is a virtual grouping or playlist of photos that doesn't move or duplicate the original files.,It is a physical folder on your hard drive containing copies of your photos.,It can only contain photos that have a 5-star rating.,"Once a photo is in a collection, it cannot be removed."
Managing your Images Using The Library Module,Collections and Smart Collections,2,What is the primary difference between a regular Collection and a Smart Collection?,You manually drag photos into a Collection; a Smart Collection automatically populates itself based on rules you define.,Smart Collections can hold more photos than regular Collections.,Regular Collections sync with the cloud; Smart Collections do not.,"Smart Collections contain ""smart previews,"" while regular Collections do not."
Managing your Images Using The Library Module,Collections and Smart Collections,3,Which of the following would be a valid rule for a Smart Collection?,"""Rating is greater than or equal to 4 stars"" AND ""Lens is 50mm f/1.8""","""Select all photos that look good.""","""Find all photos containing the colour blue.""","""Include all photos from my last import except for the bad ones."""
Managing your Images Using The Library Module,Collections and Smart Collections,4,"What is the purpose of setting a collection as the ""Target Collection""?",It allows you to quickly add photos to that collection from any module by pressing the 'B' key.,It makes that collection the default export location.,It automatically applies a preset to all images within that collection.,It shares that collection publicly on the web.
Managing your Images Using The Library Module,Collections and Smart Collections,5,"A ""Collection Set"" is used to:",Act as a folder to organise multiple collections and other collection sets.,Automatically group similar photos together.,"Create a final, unchangeable group of photos.",Sync a group of photos with Adobe Photoshop.
Managing your Images Using The Library Module,Filtering and Searching,1,What keyboard shortcut shows or hides the Library Filter bar at the top of the Grid view?,\ (backslash),F,T,Shift+L
Managing your Images Using The Library Module,Filtering and Searching,2,"In the Library Filter bar, the ""Attribute"" section allows you to filter your images based on:","Flags, ratings, and colour labels.",The camera model or lens used.,Keywords or captions.,The date the photo was taken.
Managing your Images Using The Library Module,Filtering and Searching,3,"To find all photos taken with your 70-200mm lens, which section of the Library Filter bar would you use?",Metadata,Text,Attribute,None of the above
Managing your Images Using The Library Module,Filtering and Searching,4,"How can you search for a photo using a keyword you've applied, like ""beach""?","In the ""Text"" filter, select ""Keywords"" and type ""beach.""","In the ""Attribute"" filter, select the ""beach"" colour label.","In the ""Metadata"" filter, select ""beach"" from the camera model list.",You must go to the Keyword List panel to find photos.
Managing your Images Using The Library Module,Filtering and Searching,5,"What happens when you use multiple filters at the same time (e.g., filtering for 5 stars in ""Attribute"" and ""Canon"" in ""Metadata"")?",Lightroom shows only the photos that match ALL of the specified criteria.,Lightroom shows photos that match EITHER criterion.,The filters cancel each other out.,Lightroom displays an error message.
Managing your Images Using The Library Module,Folders and File Management,1,"The ""Folders"" panel in the Library module represents:",The exact folder structure on your computer's hard drive where your photos are stored.,A virtual organisation system that is separate from your hard drive.,A list of your Lightroom Collections.,A backup of your photo library.
Managing your Images Using The Library Module,Folders and File Management,2,"If you want to rename or move a folder of images that are already in your Lightroom catalogue, what is the correct procedure?","Do it inside Lightroom by right-clicking the folder in the Folders panel and choosing ""Rename..."" or by dragging it to a new location.","Use Windows Explorer or Mac Finder to rename/move the folder, then re-import it into Lightroom.","Export all the photos to a new, correctly named folder.",You cannot rename or move folders once they are imported.
Managing your Images Using The Library Module,Folders and File Management,3,What does a folder with a question mark (?) icon next to it in the Folders panel signify?,"The folder has been moved, renamed, or deleted outside of Lightroom, and the link to the files is broken.",The folder is new and has not been backed up.,The folder contains photos that have not been edited.,The folder is set to read-only.
Managing your Images Using The Library Module,Folders and File Management,4,"The ""Synchronize Folder"" command is used to:",Update Lightroom's catalogue with any changes (like new photos added) that were made to that folder outside of Lightroom.,Back up your folder to the cloud.,Apply the same Develop settings to all photos in a folder.,Reset the folder's name to its original state.
Managing your Images Using The Library Module,Folders and File Management,5,"To find a missing photo (indicated by a '!' icon on the thumbnail), you should:","Click the '!' icon and choose ""Locate..."" to navigate to the photo's new location.",Re-import the entire folder.,Synchronise the parent folder.,Delete the photo from the catalogue and start over.
Troubleshooting,Missing Photos and Folders,1,You open Lightroom and see a question mark (?) next to a folder in the Folders panel. What does this mean?,"The folder has been moved, renamed, or deleted outside of Lightroom, so the catalogue can't find it.",The folder contains photos with missing metadata.,The folder is new and needs to be synchronised.,The folder contains photos that are flagged as rejected.
Troubleshooting,Missing Photos and Folders,2,An individual photo thumbnail in the Grid view has an exclamation point (!) in the top-right corner. This indicates that:,"The individual photo file is missing, even if Lightroom can still find the folder it was in.",The photo's develop settings are corrupted.,The photo has been edited in an external application like Photoshop.,The photo is a virtual copy.
Troubleshooting,Missing Photos and Folders,3,What is the correct procedure to fix a missing folder (with a ? icon)?,"Right-click on the missing folder in Lightroom and choose ""Find Missing Folder..."" to navigate to its new location.",Re-import the entire folder and all its photos.,Delete the folder from the catalogue and start over.,"Use the ""Synchronize Folder"" command."
Troubleshooting,Missing Photos and Folders,4,What is the primary cause of photos and folders going missing from the Lightroom catalogue?,"Moving, renaming, or deleting the source image files or folders using Windows Explorer or Mac Finder instead of within Lightroom.",A corrupted Lightroom catalogue.,Not backing up your photos properly.,Using an external hard drive.
Troubleshooting,Missing Photos and Folders,5,"After you successfully relink a missing folder, what should happen to the missing photos inside it?","Lightroom should automatically find all the photos within that folder and its subfolders, and the ! icons should disappear.",You must find each photo individually.,The photos will remain missing until you restart Lightroom.,You have to re-edit all the photos.
Troubleshooting,Catalog Issues,1,What is the function of the main Lightroom Catalog file (.lrcat)?,"It is a database that stores a preview of each photo and a record of all the edits, ratings, and keywords you've applied.","It is a single large file that contains all of your actual photo files (e.g., RAW, JPEG).",It is a text file that contains your Lightroom Classic preferences.,It is a backup of your computer's operating system.
Troubleshooting,Catalog Issues,2,"You launch Lightroom and get an error message: ""The Lightroom catalog named 'Lightroom Catalog.lrcat' cannot be found."" What is the most likely reason?","The catalogue file has been moved or deleted, or the external drive it's on is not connected.",Your Lightroom subscription has expired.,You need to update to the latest version of Lightroom Classic.,Your computer is not connected to the internet.
Troubleshooting,Catalog Issues,3,"When you back up your Lightroom catalogue, what is being saved?",Only a copy of the database (.lrcat file) that contains your edits and organisation. Your actual photos are not included.,A copy of all your original photo files.,A copy of the .lrcat file and your preview files.,A copy of your exported JPEG files.
Troubleshooting,Catalog Issues,4,"What is the benefit of running the ""Optimize Catalog"" command?",It can improve Lightroom's performance by reorganising and cleaning up the database file.,It automatically corrects the exposure and colour of all your photos.,It deletes all your rejected photos.,It uploads your catalogue to the cloud for safekeeping.
Troubleshooting,Catalog Issues,5,"If all your photos and edits seem to have vanished, and you see an empty Library module, what is a common, accidental cause of this?","You have accidentally created a new, empty catalogue and Lightroom has opened that one instead of your main catalogue.",A computer virus has deleted all your work.,All your previews have expired.,Your photos have been converted to a different file format.
Troubleshooting,Performance Problems,1,Which of the following is a common reason for Lightroom Classic running slowly?,"Not enough available RAM, or running the catalogue and previews from a slow (non-SSD) hard drive.",Having too many collections in the Collections panel.,Applying colour labels to too many photos.,Using long filenames for your photos.
Troubleshooting,Performance Problems,2,What is the primary benefit of building Smart Previews for your images?,They allow you to continue editing your photos in the Develop module even when the external drive containing the original files is disconnected.,They are full-resolution copies of your photos for backup purposes.,They make the import process faster.,They automatically sharpen your images.
Troubleshooting,Performance Problems,3,Building 1:1 Previews during import is most beneficial for which task?,"It dramatically speeds up the process of culling and checking for focus in the Library module, as Lightroom doesn't have to render a full-size preview on the fly.",It allows you to edit photos when you are offline.,It reduces the overall size of your catalogue file.,It is a required step for exporting images.
Troubleshooting,Performance Problems,4,"Besides optimising the catalogue, what is another setting you can adjust to potentially improve performance?",Increasing the size of the Camera Raw Cache in the Preferences.,Changing the background colour of the interface from dark grey to light grey.,Deleting your collections.,Reducing the number of keywords in your catalogue.
Troubleshooting,Performance Problems,5,"If you find that editing in the Develop module is slow and laggy, what is one of the first things you should check?",That your original image files are stored on a fast drive (like an SSD) rather than a slow network drive.,That you have enough hard drive space for the catalogue.,That your monitor is properly calibrated.,That you have the latest presets installed.
Troubleshooting,Develop Module Errors,1,"You open a raw file in the Develop module and see an error message ""The profile is missing or corrupted."" What does this mean?",Lightroom cannot find the corresponding camera matching profile that it needs to correctly interpret the raw file's colours.,Your user profile is logged out.,The photo's metadata is completely gone.,Your monitor profile needs to be recalibrated.
Troubleshooting,Develop Module Errors,2,"You are using the Adjustment Brush to brighten an area, but no matter how much you paint, nothing happens. What is a likely cause?","The ""Flow,"" ""Density,"" or the Exposure slider for that brush adjustment is set to zero.","The photo is a JPEG, which cannot be edited with the brush.",You have the mask overlay turned off.,"The ""Use Graphics Processor"" option is disabled."
Troubleshooting,Develop Module Errors,3,"You apply a preset, but the ""before"" image in the Before/After view (Y key) looks identical to the ""after"" image. How can you reset the ""before"" state to the original import?","In the History panel, right-click on the ""Import"" state and choose ""Copy History Step Settings to Before.""",You have to undo all your steps manually.,You must re-import the photo.,Press Ctrl+Shift+R (Cmd+Shift+R).
Troubleshooting,Develop Module Errors,4,"Why might the Histogram in the Develop module appear completely blank or ""frozen""?",This is a known bug that can sometimes occur; switching to the Library module and back can often fix it.,This is normal behaviour for black and white images.,It can happen if the photo is severely underexposed or overexposed.,It indicates that clipping is occurring in the highlights or shadows.
Troubleshooting,Develop Module Errors,5,"You move several sliders in the Basic panel, but the image preview in the centre doesn't change, although the thumbnail in the filmstrip does. This is often a sign of:",An issue with the Graphics Processor (GPU) acceleration. Disabling it in Preferences is a common troubleshooting step.,A problem with the monitor profile.,"The ""Soft Proofing"" mode being enabled with incorrect settings.",The photo being locked from further edits.
Troubleshooting,Import and Export Failures,1,"You try to import photos and receive an error: ""The files could not be read"" or ""The destination folder is not writable."" Which of the following is a possible cause?",You don't have permission to save files to the selected destination folder.,Your Lightroom subscription doesn't include importing.,The photos have no keywords applied.,The catalogue contains too many collections.
Troubleshooting,Import and Export Failures,2,Your exported JPEGs look dull and less saturated when viewed in other applications compared to how they looked in Lightroom's Develop module. What is the most common reason for this?,"You exported in a wide-gamut colour space like ProPhoto RGB, but are viewing them in an application that is not colour-managed and expects sRGB.",You exported with the Quality slider set too low.,You did not apply any Output Sharpening.,The file was corrupted during the export process.
Troubleshooting,Import and Export Failures,3,"Lightroom refuses to import a set of photos, claiming they are ""suspected duplicates,"" but you are certain they have never been imported before. What could be the issue?","The photos have the same filenames and capture times as photos already in the catalogue (e.g., from a camera that reset its file numbering).",The photos are from an unsupported camera model.,The catalogue needs to be optimised before importing.,The photos have already been backed up to the cloud.
Troubleshooting,Import and Export Failures,4,"An export fails with a generic, unspecified error. Besides running out of disk space, what is another common technical issue that could cause this?",An invalid character (like / or *) in the proposed filename.,The Quality slider being set to 100.,Output Sharpening not being applied.,The photos containing GPS location data.
Troubleshooting,Import and Export Failures,5,"You intended to export an image at 2000 pixels on the long edge, but it came out at its original size. What did you most likely forget to do in the Export dialog?","Check the ""Resize to Fit"" box in the ""Image Sizing"" panel.",Set the Quality slider to 100.,Select the sRGB colour space.,"Uncheck the ""Don't Enlarge"" box."
Using Presets and Profiles,Understanding Presets,1,What is a Lightroom Classic preset?,A saved collection of Develop module settings that can be applied to any photo with one click.,A backup of your original photo file.,A tool for adding a watermark to your image.,A base interpretation of the raw camera data.
Using Presets and Profiles,Understanding Presets,2,"When you apply a preset to a photo that you have already edited, what happens?","The preset's settings are added on top of your existing edits, potentially overwriting them.","The preset is applied, and all your previous edits are automatically undone.",A virtual copy is automatically created before the preset is applied.,Lightroom asks you to confirm before applying the preset.
Using Presets and Profiles,Understanding Presets,3,Which of the following can NOT be included when you save a Develop preset?,The Crop and Straighten settings applied to the photo.,Adjustments to the Tone Curve or HSL panel.,Settings for sharpening and noise reduction.,Vignette and grain effects.
Using Presets and Profiles,Understanding Presets,4,How do you apply a preset to a selected photo?,By clicking the name of the preset in the Presets panel on the left side of the Develop module.,By dragging the preset from the panel onto the photo.,"By right-clicking the photo and selecting ""Apply Saved Preset.""",By using the P key on the keyboard.
Using Presets and Profiles,Understanding Presets,5,You've downloaded a set of presets from the internet (in .XMP format). How do you add them to Lightroom?,"In the Presets panel, click the plus (+) icon and choose ""Import Presets...""",You must email the files to Adobe to have them added to your account.,You must copy and paste the text from the files into the preset editor.,"You have to place the files in your computer's ""Pictures"" folder."
Using Presets and Profiles,Creating and Managing Presets,1,"After you've finished editing a photo and want to save those settings as a new preset, what is the first step?","Click the plus (+) icon at the top of the Presets panel and choose ""Create Preset...""",Go to File > Save As Preset.,"Right-click on the photo and select ""Create New Preset.""",Press Ctrl+S (Cmd+S).
Using Presets and Profiles,Creating and Managing Presets,2,"In the ""Create Preset"" dialog box, what does unchecking a box (e.g., ""White Balance"") do?","It ensures that when you apply the preset, it will not change the White Balance setting on the target photo.",It resets that specific setting in the photo back to its default.,It deletes the White Balance panel from the Develop module.,It applies a neutral white balance to the preset.
Using Presets and Profiles,Creating and Managing Presets,3,"What is the best way to organise your presets into custom categories like ""Portraits,"" ""Landscapes,"" and ""Black & White""?","Use the ""Group"" dropdown menu in the ""Create Preset"" dialog to select an existing group or create a new one.",Rename the presets to start with the category name.,You must create separate catalogues for each category of preset.,Drag and drop the presets into the Collections panel.
Using Presets and Profiles,Creating and Managing Presets,4,"You have an existing preset, but you've made some improvements to its settings on a new photo. How can you update the original preset with these new settings?","Right-click on the preset in the Presets panel and choose ""Update with Current Settings.""",You must delete the old preset and create a new one with the same name.,"Save a new preset with the same name, and Lightroom will ask if you want to overwrite it.",Drag the photo's thumbnail onto the preset's name.
Using Presets and Profiles,Creating and Managing Presets,5,Some of your presets are greyed-out and you can't click them. This usually means:,"The presets contain settings (like a specific Profile) that are not compatible with the selected file type (e.g., a JPEG).",The presets are corrupted and need to be reinstalled.,The presets are only compatible with a different version of Lightroom.,Your Lightroom subscription has expired.
Using Presets and Profiles,Understanding Profiles,1,"In the context of Lightroom, what is a ""Profile""?","The foundational rendering instructions that interpret the raw camera data into a visible image, serving as the starting point for all other edits.",Another name for a preset.,Your user account information and settings.,A set of rules for exporting an image.
Using Presets and Profiles,Understanding Profiles,2,Where is the Profile Browser located in the Develop module?,"At the very top of the Basic panel, just below the Histogram.",In the Presets panel on the left.,"Under the ""Settings"" menu in the main menu bar.",In the right-click context menu.
Using Presets and Profiles,Understanding Profiles,3,"What is the purpose of the ""Camera Matching"" profiles (e.g., Camera Faithful, Camera Landscape)?",To emulate the JPEG picture styles available in your specific camera model.,To make your photo look like it was taken with a different brand of camera.,"To apply a creative, artistic look to your photo.",To automatically correct for lens distortion.
Using Presets and Profiles,Understanding Profiles,4,"When you are editing a JPEG file, why are the Adobe Raw and Camera Matching profiles not available?","Because the rendering of a JPEG is ""baked in,"" and these profiles can only be applied to raw sensor data.",Because JPEG files cannot be edited in Lightroom.,It is a bug in the current version of Lightroom.,You must purchase them separately for JPEG editing.
Using Presets and Profiles,Understanding Profiles,5,The default profile for most raw files in the current version of Lightroom is:,Adobe Color,Adobe Standard,Adobe Landscape,Adobe Neutral
Using Presets and Profiles,The Profile Browser,1,What is the main advantage of using the Profile Browser to preview looks?,You can hover your mouse over the various profile thumbnails to see a live preview on your main image without actually applying the change.,It is the only way to apply black and white effects.,It automatically organises your photos based on which profile you use.,It allows you to create new presets.
Using Presets and Profiles,The Profile Browser,2,"For ""Creative"" profiles (like those in the Artistic or Modern groups), what does the ""Amount"" slider allow you to do?","It controls the intensity of the profile, allowing you to fade the effect from 0 to 200.",It increases or decreases the overall exposure of the image.,It changes the colour of the profile's effect.,It adjusts the number of presets visible in the panel.
Using Presets and Profiles,The Profile Browser,3,How can you make your most-used profiles easily accessible?,"By clicking the star icon that appears when you hover over a profile thumbnail, which adds it to the ""Favorites"" group at the top of the browser.",You cannot change the order of the profiles.,"By renaming the profile to have a ""1"" in front of it.",By creating a special collection for your favourite profiles.
Using Presets and Profiles,The Profile Browser,4,Which of the following is NOT a typical group of profiles found in the Profile Browser for a raw file?,Auto-Correction,Adobe Raw,B&W,Artistic
Using Presets and Profiles,The Profile Browser,5,How do you exit the full-screen Profile Browser and apply the selected profile?,"Click the ""Close"" button or double-click the desired profile thumbnail.",Press the Esc key.,Press Enter.,You must restart Lightroom.
Using Presets and Profiles,Presets vs. Profiles,1,What is the most fundamental difference between applying a Profile and applying a Preset?,"A Profile sets the foundational look *without* changing most sliders, while a Preset applies a look *by* changing the slider positions.","A Profile changes the slider positions in the edit panels, while a Preset does not.","Presets can be faded with an ""Amount"" slider, but Profiles cannot.",There is no functional difference; they are just organised differently.
Using Presets and Profiles,Presets vs. Profiles,2,"You want to apply a subtle, overall colour grade to your image but want the ability to easily dial the intensity up or down. Which tool is better suited for this?","A Creative Profile, because it has a built-in ""Amount"" slider.","A Preset, because you can update it with new settings.","Neither, you should use the HSL panel for this.",Both are equally suited for this task.
Using Presets and Profiles,Presets vs. Profiles,3,Which of the following workflows is a valid and common practice in Lightroom?,"Apply a Profile first to set the base rendering, then apply a Preset to make further stylistic adjustments.","You must choose either a Profile or a Preset, you cannot use both.","Apply a Preset first, which then locks you out of changing the Profile.","Apply a Profile, which then locks you out of using any Presets."
Using Presets and Profiles,Presets vs. Profiles,4,"If your goal is to save a very specific set of technical corrections (e.g., Sharpening: 50, Noise Reduction: 20, Lens Correction: On), which would you create?",A Preset,A Profile,A Collection,A Snapshot
Using Presets and Profiles,Presets vs. Profiles,5,"Why are Profiles considered a more ""non-destructive"" starting point than Presets?","Because they don't alter the positions of your edit sliders, leaving you with the full range of motion for your own adjustments.",Because they create smaller file sizes.,Because they can be easily deleted.,"Because they are stored in the cloud, not on your computer."
